id,created_at,chapter,topic,subtopic,seeded
3,2024-11-15 00:05:04.842434+00,Chapter 4,Geography,World War II,false
4,2024-11-15 00:05:04.842434+00,Chapter 18,Mathematics,Newton's Laws,false
5,2024-11-15 00:05:04.842434+00,Chapter 15,History,Trigonometry,false
6,2024-11-15 00:05:04.842434+00,Chapter 8,Computer Science,Photosynthesis,false
7,2024-11-15 00:05:04.842434+00,Chapter 5,Mathematics,Periodic Table,false
8,2024-11-15 00:05:04.842434+00,Chapter 1,Biology,Periodic Table,false
9,2024-11-15 00:05:04.842434+00,Chapter 6,Physics,Algebra,false
10,2024-11-15 00:05:04.842434+00,Chapter 2,Chemistry,Photosynthesis,false
11,2024-11-15 00:05:04.842434+00,Chapter 11,Geography,World War II,false
12,2024-11-15 00:05:04.842434+00,Chapter 11,Geography,Climate Change,false
13,2024-11-15 00:05:04.842434+00,Chapter 17,Computer Science,Newton's Laws,false
14,2024-11-15 00:05:04.842434+00,Chapter 5,Biology,Photosynthesis,false
15,2024-11-15 00:05:04.842434+00,Chapter 1,Computer Science,Algebra,false
16,2024-11-15 00:05:04.842434+00,Chapter 3,Biology,World War II,false
17,2024-11-15 00:05:04.842434+00,Chapter 14,English,World War II,false
18,2024-11-15 00:05:04.842434+00,Chapter 16,English,Photosynthesis,false
19,2024-11-15 00:05:04.842434+00,Chapter 14,Physics,World War II,false
20,2024-11-15 00:05:04.842434+00,Chapter 4,Biology,World War II,false
21,2024-11-15 00:05:04.842434+00,Chapter 17,Mathematics,Periodic Table,false
22,2024-11-15 00:05:04.842434+00,Chapter 20,Computer Science,Periodic Table,false
23,2024-11-15 00:05:04.842434+00,Chapter 9,Mathematics,Climate Change,false
24,2024-11-15 00:05:04.842434+00,Chapter 3,Physics,Algebra,false
25,2024-11-15 00:05:04.842434+00,Chapter 3,Mathematics,World War II,false
26,2024-11-15 00:05:04.842434+00,Chapter 3,Computer Science,Periodic Table,false
27,2024-11-15 00:05:04.842434+00,Chapter 6,Chemistry,Supply and Demand,false
28,2024-11-15 00:05:04.842434+00,Chapter 8,Science,Photosynthesis,false
29,2024-11-15 00:05:04.842434+00,Chapter 15,Geography,Photosynthesis,false
30,2024-11-15 00:05:04.842434+00,Chapter 9,Physics,Trigonometry,false
31,2024-11-15 00:05:04.842434+00,Chapter 5,Chemistry,World War II,false
32,2024-11-15 00:05:04.842434+00,Chapter 8,Economics,Algebra,false
33,2024-11-15 00:05:04.842434+00,Chapter 9,English,Photosynthesis,false
34,2024-11-15 00:05:04.842434+00,Chapter 10,History,Algebra,false
35,2024-11-15 00:05:04.842434+00,Chapter 4,Geography,Climate Change,false
36,2024-11-15 00:05:04.842434+00,Chapter 3,English,Climate Change,false
37,2024-11-15 00:05:04.842434+00,Chapter 14,Geography,Photosynthesis,false
38,2024-11-15 00:05:04.842434+00,Chapter 1,Chemistry,Photosynthesis,false
39,2024-11-15 00:05:04.842434+00,Chapter 4,Geography,Algebra,false
40,2024-11-15 00:05:04.842434+00,Chapter 3,Science,Python Programming,false
41,2024-11-15 00:05:04.842434+00,Chapter 5,Mathematics,Python Programming,false
42,2024-11-15 00:05:04.842434+00,Chapter 2,Science,World War II,false
