id,created_at,chapter,topic,subtopic,seeded
1,2024-11-15 22:41:39.621755,Practical Applications of World War II,Geography,World War II,False
2,2024-11-15 22:41:39.621825,Introduction to World War II,Geography,World War II,False
3,2024-11-15 22:41:39.621834,Introduction to World War II,Geography,World War II,False
4,2024-11-15 22:41:39.621839,Practical Applications of World War II,Geography,World War II,False
5,2024-11-15 22:41:39.621843,Theoretical Approaches to World War II,Geography,World War II,False
6,2024-11-15 22:41:39.621858,Future Directions in Climate Change,Geography,Climate Change,False
7,2024-11-15 22:41:39.621863,Practical Applications of Climate Change,Geography,Climate Change,False
8,2024-11-15 22:41:39.621867,Advanced Concepts in Climate Change,Geography,Climate Change,False
9,2024-11-15 22:41:39.621871,Advanced Concepts in Climate Change,Geography,Climate Change,False
10,2024-11-15 22:41:39.621874,Introduction to Climate Change,Geography,Climate Change,False
11,2024-11-15 22:41:39.621883,Practical Applications of Urban Development,Geography,Urban Development,False
12,2024-11-15 22:41:39.621887,Challenges in Urban Development,Geography,Urban Development,False
13,2024-11-15 22:41:39.621891,Advanced Concepts in Urban Development,Geography,Urban Development,False
14,2024-11-15 22:41:39.621897,Fundamentals of Urban Development,Geography,Urban Development,False
15,2024-11-15 22:41:39.621903,Theoretical Approaches to Urban Development,Geography,Urban Development,False
16,2024-11-15 22:41:39.621915,Future Directions in Globalization,Geography,Globalization,False
17,2024-11-15 22:41:39.621921,Advanced Concepts in Globalization,Geography,Globalization,False
18,2024-11-15 22:41:39.621927,Advanced Concepts in Globalization,Geography,Globalization,False
19,2024-11-15 22:41:39.621932,Case Studies on Globalization,Geography,Globalization,False
20,2024-11-15 22:41:39.621935,Introduction to Globalization,Geography,Globalization,False
21,2024-11-15 22:41:39.621943,Modern Developments in Natural Resources,Geography,Natural Resources,False
22,2024-11-15 22:41:39.621946,Modern Developments in Natural Resources,Geography,Natural Resources,False
23,2024-11-15 22:41:39.621950,Practical Applications of Natural Resources,Geography,Natural Resources,False
24,2024-11-15 22:41:39.621956,Practical Applications of Natural Resources,Geography,Natural Resources,False
25,2024-11-15 22:41:39.622045,Modern Developments in Natural Resources,Geography,Natural Resources,False
26,2024-11-15 22:41:39.622059,Theoretical Approaches to Geopolitics,Geography,Geopolitics,False
27,2024-11-15 22:41:39.622063,Modern Developments in Geopolitics,Geography,Geopolitics,False
28,2024-11-15 22:41:39.622067,Introduction to Geopolitics,Geography,Geopolitics,False
29,2024-11-15 22:41:39.622070,Challenges in Geopolitics,Geography,Geopolitics,False
30,2024-11-15 22:41:39.622074,Theoretical Approaches to Geopolitics,Geography,Geopolitics,False
31,2024-11-15 22:41:39.622095,Fundamentals of Algebra,Mathematics,Algebra,False
32,2024-11-15 22:41:39.622101,Case Studies on Algebra,Mathematics,Algebra,False
33,2024-11-15 22:41:39.622107,Practical Applications of Algebra,Mathematics,Algebra,False
34,2024-11-15 22:41:39.622123,Modern Developments in Algebra,Mathematics,Algebra,False
35,2024-11-15 22:41:39.622128,Modern Developments in Algebra,Mathematics,Algebra,False
36,2024-11-15 22:41:39.622141,Theoretical Approaches to Calculus,Mathematics,Calculus,False
37,2024-11-15 22:41:39.622146,Modern Developments in Calculus,Mathematics,Calculus,False
38,2024-11-15 22:41:39.622151,Advanced Concepts in Calculus,Mathematics,Calculus,False
39,2024-11-15 22:41:39.622157,Challenges in Calculus,Mathematics,Calculus,False
40,2024-11-15 22:41:39.622163,Future Directions in Calculus,Mathematics,Calculus,False
41,2024-11-15 22:41:39.622174,Challenges in Trigonometry,Mathematics,Trigonometry,False
42,2024-11-15 22:41:39.622180,Modern Developments in Trigonometry,Mathematics,Trigonometry,False
43,2024-11-15 22:41:39.622186,Introduction to Trigonometry,Mathematics,Trigonometry,False
44,2024-11-15 22:41:39.622191,Case Studies on Trigonometry,Mathematics,Trigonometry,False
45,2024-11-15 22:41:39.622197,Challenges in Trigonometry,Mathematics,Trigonometry,False
46,2024-11-15 22:41:39.622209,Historical Background of Statistics,Mathematics,Statistics,False
47,2024-11-15 22:41:39.622216,Modern Developments in Statistics,Mathematics,Statistics,False
48,2024-11-15 22:41:39.622221,Case Studies on Statistics,Mathematics,Statistics,False
49,2024-11-15 22:41:39.622226,Historical Background of Statistics,Mathematics,Statistics,False
50,2024-11-15 22:41:39.622231,Modern Developments in Statistics,Mathematics,Statistics,False
51,2024-11-15 22:41:39.622243,Challenges in Probability,Mathematics,Probability,False
52,2024-11-15 22:41:39.622250,Modern Developments in Probability,Mathematics,Probability,False
53,2024-11-15 22:41:39.622261,Introduction to Probability,Mathematics,Probability,False
54,2024-11-15 22:41:39.622268,Future Directions in Probability,Mathematics,Probability,False
55,2024-11-15 22:41:39.622274,Fundamentals of Probability,Mathematics,Probability,False
56,2024-11-15 22:41:39.622286,Future Directions in Geometry,Mathematics,Geometry,False
57,2024-11-15 22:41:39.622292,Practical Applications of Geometry,Mathematics,Geometry,False
58,2024-11-15 22:41:39.622300,Future Directions in Geometry,Mathematics,Geometry,False
59,2024-11-15 22:41:39.622305,Fundamentals of Geometry,Mathematics,Geometry,False
60,2024-11-15 22:41:39.622311,Introduction to Geometry,Mathematics,Geometry,False
